icao,season,period,view,condition,taf_forecast,taf_hit,taf_pct,metar_observed,metar_caught,metar_pct
SBAE,Primavera,18-24,exato,TSRA,12,0,0.0,0,0,
SBAE,Primavera,18-24,sem_intensidade,TS,3,0,0.0,0,0,
SBAE,Primavera,18-24,sem_intensidade,TSRA,12,0,0.0,0,0,
SBAE,Primavera,18-24,sem_intensidade,+RA,0,0,,0,0,
SBAE,Primavera,TODOS,exato,TS,4,0,0.0,0,0,
SBAE,Primavera,TODOS,exato,+RA,0,0,,0,0,
SBAE,Primavera,TODOS,exato,+TSRA,0,0,,0,0,
SBAE,Primavera,TODOS,exato,TSRA,13,0,0.0,0,0,
SBAE,Primavera,TODOS,sem_intensidade,TS,4,0,0.0,0,0,
SBAE,Primavera,TODOS,sem_intensidade,TSRA,13,0,0.0,1,0,0.0
SBAE,Primavera,TODOS,sem_intensidade,+RA,0,0,,0,0,
SBAE,TODAS,00-06,exato,TS,0,0,,0,0,
SBAE,TODAS,00-06,exato,+RA,0,0,,0,0,
SBAE,TODAS,00-06,exato,+TSRA,0,0,,0,0,
SBAE,TODAS,00-06,exato,TSRA,0,0,,0,0,
SBAE,TODAS,00-06,sem_intensidade,TS,0,0,,0,0,
SBAE,TODAS,00-06,sem_intensidade,TSRA,0,0,,0,0,
SBAE,TODAS,00-06,sem_intensidade,+RA,0,0,,0,0,
SBAE,TODAS,06-12,exato,TS,0,0,,0,0,
SBAE,TODAS,06-12,exato,+RA,0,0,,0,0,
SBAE,TODAS,06-12,exato,+TSRA,0,0,,0,0,
SBAE,TODAS,06-12,exato,TSRA,0,0,,0,0,
SBAE,TODAS,06-12,sem_intensidade,TS,0,0,,0,0,
SBAE,TODAS,06-12,sem_intensidade,TSRA,0,0,,0,0,
SBAE,TODAS,06-12,sem_intensidade,+RA,0,0,,0,0,
SBAE,TODAS,12-18,exato,TS,1,0,0.0,0,0,
SBAE,TODAS,12-18,exato,+RA,0,0,,0,0,
SBAE,TODAS,12-18,exato,+TSRA,0,0,,0,0,
SBAE,TODAS,12-18,exato,TSRA,1,0,0.0,0,0,
SBAE,TODAS,12-18,sem_intensidade,TS,1,0,0.0,0,0,
SBAE,TODAS,12-18,sem_intensidade,TSRA,1,0,0.0,2,0,0.0
SBAE,TODAS,12-18,sem_intensidade,+RA,0,0,,0,0,
SBAE,TODAS,18-24,exato,TS,8,0,0.0,0,0,
SBAE,TODAS,18-24,exato,+RA,0,0,,0,0,
SBAE,TODAS,18-24,exato,+TSRA,0,0,,1,0,0.0
SBAE,TODAS,18-24,exato,TSRA,44,0,0.0,0,0,
SBAE,TODAS,18-24,sem_intensidade,TS,8,0,0.0,0,0,
SBAE,TODAS,18-24,sem_intensidade,TSRA,44,2,4.5,2,2,100.0
SBAE,TODAS,18-24,sem_intensidade,+RA,0,0,,0,0,
SBAE,TODAS,TODOS,exato,TS,9,0,0.0,0,0,
SBAE,TODAS,TODOS,exato,+RA,0,0,,0,0,
SBAE,TODAS,TODOS,exato,+TSRA,0,0,,1,0,0.0
SBAE,TODAS,TODOS,exato,TSRA,45,0,0.0,0,0,
SBAE,TODAS,TODOS,sem_intensidade,TS,9,0,0.0,0,0,
SBAE,TODAS,TODOS,sem_intensidade,TSRA,45,2,4.4,4,2,50.0
SBAE,TODAS,TODOS,sem_intensidade,+RA,0,0,,0,0,
SBAR,Verao,00-06,exato,TS,0,0,,0,0,
SBAR,Verao,00-06,exato,+RA,0,0,,0,0,
SBAR,Verao,00-06,exato,+TSRA,0,0,,0,0,
SBAR,Verao,00-06,exato,TSRA,1,0,0.0,0,0,
SBAR,Verao,00-06,sem_intensidade,TS,0,0,,0,0,
SBAR,Verao,00-06,sem_intensidade,TSRA,1,0,0.0,0,0,
SBAR,Verao,00-06,sem_intensidade,+RA,0,0,,0,0,
SBAR,Verao,06-12,exato,TS,0,0,,0,0,
SBAR,Verao,06-12,exato,+RA,0,0,,1,0,0.0
SBAR,Verao,06-12,exato,+TSRA,0,0,,0,0,
SBAR,Verao,06-12,exato,TSRA,0,0,,0,0,
SBAR,Verao,06-12,sem_intensidade,TS,0,0,,0,0,
SBAR,Verao,06-12,sem_intensidade,TSRA,0,0,,0,0,
SBAR,Verao,06-12,sem_intensidade,+RA,0,0,,1,0,0.0
SBAR,Verao,12-18,exato,TS,0,0,,2,0,0.0
SBAR,Verao,12-18,exato,+RA,0,0,,0,0,
SBAR,Verao,12-18,exato,+TSRA,0,0,,0,0,
SBAR,Verao,12-18,exato,TSRA,17,0,0.0,1,0,0.0
SBAR,Verao,12-18,sem_intensidade,TS,0,0,,2,0,0.0
SBAR,Verao,12-18,sem_intensidade,TSRA,17,0,0.0,1,0,0.0
