ident,latitude_deg,longitude_deg,iata_code
BR-0228,-15.68727,-44.476848,
BR-0231,-15.361892,-42.371236,
BR-0234,-15.083994,-49.294977,
BR-0306,-12.140605,-50.677037,
BR-0258,1.617119,-63.65329,
BR-0272,-21.65328,-52.426395,
BR-0273,-13.434052,-47.152733,
BR-0280,-13.115192,-44.681977,
BR-1435,-4.284744,-39.940705,
BR-3268,-13.0484,-57.791747,
BR-1006,1.597558,-54.134285,
BR-1011,-13.133265,-55.445081,
SI8Y,-15.545631,-56.594236,
SD75,-19.023319,-45.4117,
SNLI,-19.1556,-45.494801,
SI4K,-1.794319,-48.792022,
SDLI,-8.73699,-39.115398,
SI7X,-9.246739,-49.395683,
SWUX,-9.244835,-49.666942,
SS2Z,-9.386899,-49.310819,
BR-1102,-9.719693,-65.144742,
SI2Y,-4.731317,-47.956977,
SD8Y,-4.8875,-47.220556,
BR-2568,-4.646389,-47.233334,
BR-2767,-2.25126,-48.592451,
BR-1436,-4.20618,-38.682795,
SIAP,-31.73442,-54.089186,
BR-3119,-15.093319,-56.37704,
BR-3172,-17.575001,-50.174997,
SWZN,-17.314771,-50.424987,
BR-2502,-17.633208,-50.471807,
SNUC,-5.59505,-36.960899,
SWYO,-21.48292,-51.025562,
BR-2166,-10.5809,-38.088799,
BR-1072,-7.764304,-37.596003,
BR-2847,-7.723611,-37.618889,
SN4M,-4.205833,-43.298889,
BR-2849,-8.610556,-41.00047,
BR-0026,-0.1581,-50.3881,
SDUK,-14.0966672897,-52.9019432068,
BR-2422,-13.736944,-52.589443,
BR-3137,-13.880673,-52.400002,
SWCM,-13.994372,-52.933202,
SWGV,-12.801944,-52.607777,
BR-0760,-14.071369,-52.038982,
BR-1196,-13.730606,-52.69571,
SD31,-14.089192,-52.248619,
SD95,-14.056831,-52.577289,
SNF7,-13.751614,-52.922017,
SNG3,-13.878284,-52.61457,
SI4H,-13.722581,-53.092983,
SJ39,-14.114444,-52.191667,
SDT4,-14.096057,-52.690872,
SI3A,-20.181194,-52.979625,
SI7S,-19.680229,-52.894262,
SI24,-20.138056,-52.978333,
BR-1015,-20.167285,-53.070656,
BR-1889,3.043056,-60.947778,
SIQ6,-19.883333,-53.258389,
SJ9T,-19.535715,-53.019455,
BR-1810,-19.913024,-56.017914,
BR-1788,-19.698471,-53.081144,
SSSR,-20.316389083862305,-52.733333587646484,
SSYV,-19.726388931274414,-52.85139083862305,
SSZG,-19.257221221923828,-52.89638900756836,
SSZU,-19.503125,-53.049556,
BR-2915,-20.169722,-52.933056,
BR-2935,-19.480568,-52.798395,
SDAU,-19.4685,-52.6214,
BR-2695,-19.519453,-52.603884,
